Event,title,composer,code
931-Mixed Chorus,Gloria Patri (15020),Christopher/,
931-Mixed Chorus,Come to the Music (15035),Martin/,
931-Mixed Chorus,Psalm 96 (Chantez a Dieu) (11889),Sweelinck/Boepple,
931-Mixed Chorus,Es fiel ein Reif (from Drei Volkslieder) (15531) (German) (a cappella),Mendelssohn/Richter,
931-Mixed Chorus,Agnus Dei (11439) (Latin) (a cappella),Porterfield,
931-Mixed Chorus,Os Justi meditabitur sapientiam (11802) (Latin) (SATB divisi) (a cappella),Bruckner,
931-Mixed Chorus,O Hear the Joyful Singing (O Vezzosett'e Bella),Gastoldi arr. Liebergen,
931-Mixed Chorus,Sing On This Festive Day (14997) (SAB) (opt hand drum and finger cymbals or triangle) (a cappella),Arcadelt/Liebergen,
931-Mixed Chorus,Adoramus Te (17743) (SATB) (accomp),Bennett,
931-Mixed Chorus,Sanctus (17735) (SAT(B)) (accomp),Howard,
931-Mixed Chorus,Holy  Holy  Holy (11264) (SAB) (accomp),Schubert/Liebergen,
931-Mixed Chorus,Steal Away (16367) (SATB) (accomp),Anon. or Trad./Schram,
931-Mixed Chorus,Veni Jesu (22742) (3 part mixed) (opt piano) (a cappella),Cherubini/Robinson,
931-Mixed Chorus,I Will Lift My Eyes,Mark Hayes,
931-Mixed Chorus,Do Not Stand At My Grave and Weep (18493) (SATB) (accomp),Farnell,
931-Mixed Chorus,Go and Tell John (11671) (SSATB) (a cappella),Pfautsch,
931-Mixed Chorus,Bless the Lord  O My Soul (11485) (SAB) (accomp),Handel/Hopson,
931-Mixed Chorus,Come to the Music (15035) (SSATTB) (piccolo and percussion optional) (accomp),Martin,
931-Mixed Chorus,Domine Deus (17733) (SAB) (accomp),Gray,
931-Mixed Chorus,With a Voice of Singing (16802) (SATB) (accomp),Shaw,
931-Mixed Chorus,Cantate Domino (16780) (SSAB) (a cappella),Snyder,
931-Mixed Chorus,Laudate (11665) (SATB div) (Latin) (a cappella),Nystedt,
931-Mixed Chorus,I. Gloria in Excelsis Deo (from Three a cappella Latin settings) (20706) (SAB) (solo or small group) (unaccomp) (a cappella),Estes,
933-Tenor/Bass Chorus,Bound For The Rio Grande (12874),Anon. or Trad./Shaw/Parker,
933-Tenor/Bass Chorus,My Spirit Looks to God Alone (21469) (TTBB) (a cappella),Reed/Fox,
933-Tenor/Bass Chorus,Ticket to the Kingdom (12811) (TTB) (accomp),Moore,
933-Tenor/Bass Chorus,Sing Me a Song of a Lad That Is Gone (12818) (TTB) (accomp),Porterfield,
933-Tenor/Bass Chorus,Lord  In the Morning (12762) (TBB) (a cappella),Drummond,
933-Tenor/Bass Chorus,Do You Fear the Wind (12869) (a cappella),Sateren,
933-Tenor/Bass Chorus,Hosanna (22731) (TTBB) (accomp),Wright,
935-Treble Chorus,All Join Hands (12108),Anon. or Trad./Crocker,
935-Treble Chorus,Tomorrow Shall Be My Dancing Day (12464),Anon. or Trad./Rutter,
935-Treble Chorus,Rise  My Soul (24279) (SSAA) (a cappella),LaBarr,
935-Treble Chorus,Viva La Musica,Ilze Arne,
935-Treble Chorus,Arise My Love (20841) (SSA) (accomp),Szymko,
935-Treble Chorus,Jubilate Deo (12105) (2 part) (accomp),Spevacek,
935-Treble Chorus,Moon (from Three Spanish Ballads) (15642) (accomp),Butler,
935-Treble Chorus,Non Nobis  Domine (12130) (SSA) (a cappella),Byrd/Bartle,
935-Treble Chorus,Exaudi! Laudate! (12457) (Latin) (accomp),Patton,
935-Treble Chorus,Cantate Domino (24274) (SSA) (accomp),Hayes,
935-Treble Chorus,Gloria (22829) (SSA) (a cappella),Reese,
933-Tenor/Bass Chorus,O Magnum Mysterium (20734),Ramos/,
933-Tenor/Bass Chorus,The Chariot Spiritual ,Donald Moore ,
933-Tenor/Bass Chorus,The Open Road (17789) (TB)(a cappella or accomp) (a cappella),Farnell,
933-Tenor/Bass Chorus,Aura Lee,Emily Crocker,
933-Tenor/Bass Chorus,Leave Her  Johnny (12647) (TB or TTB) (a cappella),Anon. or Trad./Crocker,
933-Tenor/Bass Chorus,The Open Road,Laura Farnell,
933-Tenor/Bass Chorus,Benedictus ,Schram,
933-Tenor/Bass Chorus,The Shepherd's Spiritual,Moore,
933-Tenor/Bass Chorus,One More River (17786) (TB) (accomp),Anon. or Trad./Rentz,
933-Tenor/Bass Chorus,A Cowboys Life (20699) (TB opt divisi) (accomp),Davison,
933-Tenor/Bass Chorus,All the World was Made for Me (17784),Farnell/,
933-Tenor/Bass Chorus,Rest Not (17796) (TB) (accomp),Farnell,
933-Tenor/Bass Chorus,All the World was Made for Me	,Laura Farnell,
933-Tenor/Bass Chorus,Sea Remembrance,Farnell,
935-Treble Chorus,Murasame (18281) (SA) (piano w/ opt rain stick  chime tree) (accomp),Johnson,
935-Treble Chorus,The Moon (17823),Beck/,
935-Treble Chorus,Gerakina (18285),Anon. or Trad./Leck,
935-Treble Chorus,Gloria Deo ,Mary Lynn Lightfoot ,
935-Treble Chorus,Harps and Wheels (16885) (2 part) (accomp),Anon. or Trad./Martin,
935-Treble Chorus,All the Pretty Horses,Artman,
935-Treble Chorus,Autumn Vesper (12202) (SA) accompanied (SSA optional) (accomp),Snyder,
935-Treble Chorus,Sakura  Sakura (The Cherry Blossom Song),Christopher Matthews,
935-Treble Chorus,Who Has Seen the Wind,Mark Patterson ,
935-Treble Chorus,Simple Gifts,Julie Wheeler,
935-Treble Chorus,Love In Thy Youth (12024) (SA) (a cappella),Crocker/Leavitt,
935-Treble Chorus,Boats Sail on the Rivers,Fritz,
935-Treble Chorus,Omnia Vincit Amor,Trotta,
935-Treble Chorus,There Is No Frigate Like A Book... (from Two Poems of Emily Dickinson) (15322) (unison) (accomp),Ginsberg,
935-Treble Chorus,Who Can Sail (12087) (SA) (accomp),Julseth/Heinrich,
935-Treble Chorus,El Vito (18284) (SA) ( w/ opt descant) (accomp),Anon. or Trad./Crocker,
935-Treble Chorus,Dodi Li,Rao,
935-Treble Chorus,I never saw a moor,Ginsberg,
935-Treble Chorus,Wishing Star,Farnell,
935-Treble Chorus,The Moon,Beck,
935-Treble Chorus,Clap Your Hands (16936) (2 part) (opt percussion) (accomp),Council,
935-Treble Chorus,Jentends le moulin (I Hear the Windmill) (19565) (SA) (accomp),French Canadian Folk Song/Crocker,
935-Treble Chorus,J'Entend le Moulin,Dwyer/Ellis,
935-Treble Chorus,Wishing Star (21991),Bolton/Farnell,
935-Treble Chorus,Hand Me Down My Silver Trumpet (16879) (2 part) (accomp),Webb,
935-Treble Chorus,Night Winds,Victor Johnson,
935-Treble Chorus,There Is No Frigate Like A Book... (from Two Poems of Emily Dickinson),Neil Ginsberg,
935-Treble Chorus,Skye Boat Song,Jay Althouse,
935-Treble Chorus,The Mending Song,Killman,
935-Treble Chorus,Petit Enfant,Shaw,
935-Treble Chorus,O Magnum Mysterium,Antongnini,
935-Treble Chorus,Petit Enfant (15383) (opt flute) (accomp),Shaw/Thompsen,
933-Tenor/Bass Chorus,Benedictus,Ruth Elaine Schram,
