,count,title,composer,event,specification,grade,average std dev above mean,average uil score,average score above expected
,84651,,,,,,,,
935-2-22659,1901,Medieval Gloria,Singh,Treble Chorus,(SA) (w/ hand drum) (a cappella),2,-0.456634951057725,1.6105662393162365,-0.07347180881053658
935-1-22482,1220,The Cuckoo,Anon. or Trad.,Treble Chorus,(w/ or w/o accomp) (SA) (a cappella),1,-0.40048212253219484,1.5016290726817034,-0.0030992190767773447
935-1-22549,1176,Dodi Li,Chen,Treble Chorus,"(SA, solo opt) (accomp)",1,-0.40530259420769843,1.531570680628271,-0.024467184412763656
933-1-31056,842,Three Latin Songs,Farnell,Tenor-Bass Chorus,(T(T)B)(perform #1 or #3) (a cappella),1,-0.2781828970711362,1.4551719901719915,-0.027387242958359825
933-1-21935,813,Red River Valley,Anon. or Trad.,Tenor-Bass Chorus,(TB or TTB) (a cappella),1,-0.4392822054164678,1.5959476309226936,-0.07380953387008551
935-1-22589,776,Festival Alleluia,Pote,Treble Chorus,(unison or 2 part) (accomp),1,-0.3783868565023516,1.5397786458333345,-0.04144811060147242
931-4-27519,762,Esto Les Digo,Lange,Mixed Chorus,"(SATB, sop solo) (a cappella)",4,-0.4272306962495087,1.4977496671105193,0.022123041725229022
933-1-30362,747,The Vagabond,Farnell,Tenor-Bass Chorus,(TB) (opt. a capella) (accomp),1,-0.2814638142358554,1.5141313269493843,-0.08422491826856447
933-1-30361,704,The Open Road,Farnell,Tenor-Bass Chorus,(TB) (opt accomp) (a cappella),1,-0.32617034793447086,1.5002192982456155,-0.047630419219053616
935-2-22697,694,Sing With Pleasure,Handel,Treble Chorus,(SA or SSA) (opt flute) (accomp),2,-0.45651817966874586,1.4901739130434783,0.046887563077586944
933-2-22098,610,The Shepherd's Spiritual,Anon. or Trad.,Tenor-Bass Chorus,"(TB, opt solo) (opt tambourine) (accomp)",2,-0.4160064389229534,1.5573789649415706,-0.042311138654057896
933-4-22324,603,Be Thou My Vision,Anon. or Trad.,Tenor-Bass Chorus,(TBB) (opt bass solo) (accomp),4,-0.4340800117301715,1.389158249158251,0.12844209806977286
931-4-21597,587,Der Tanz,Schubert,Mixed Chorus,(German) (accomp),4,-0.4322653016268543,1.420894736842105,0.10343399076059842
935-3-29201,577,Gloria Fanfare,Farnell,Treble Chorus,(SSA)(a cappella or accomp) (accomp),3,-0.42568038681450093,1.4617913043478263,0.04811248931324329
935-5-23172,572,Psalm 100,Clausen,Treble Chorus,(SSA) (two pianos or one piano & inst) (accomp),5,-0.4738250767951584,1.3853615520282203,0.15960451694912914
935-2-22679,551,Stars Are For Those Who Lift Their Eyes,Delmonte,Treble Chorus,(2 or 3 part) (keyboard or guitar) (solo opt) (accomp),2,-0.4336434986581268,1.5587840290381132,-0.03687520039437135
