,chorus,conf,school,score_1,score_2,score_3,score_final,song1,song2,song3,sr_1,sr_2,sr_3,sr_final
0,Mixed,CCVarsity,"Bonham MS Amarillo Lizzi Manfredi / Brae Foust, Carolyn Terrell Acc: Susan Hinrichs",1,1,1,1,Now Thank We All Our God,Sing to the Lord,Exsultate Justi,1,1,1,1
1,Mixed,CNon-Varsity,Friona Junior High Friona Landree Steadman Acc: Kim Smiley,2,3,2,2,Ma Bella Bimba,Come in from the Firefly Darkness,Tongo,3,3,2,3
2,Tenor/Bass,CCNon-Varsity,Austin Middle School Amarillo Morgan Farren Acc: Susan Burt,1,1,1,1,Sinner Man,She Walks in Beauty,"Are You With Me, Men?",1,1,1,1
3,Tenor/Bass,CCVarsity,"Bonham MS Amarillo Lizzi Manfredi / Brae Foust, Doyle Corder Acc: Susan Hinrichs",2,1,1,1,Rest Not,She Walks in Beauty,Aya Ngena,1,1,1,1
4,Tenor/Bass,CCNon-Varsity,Borger Middle School Borger Holly Johnston Acc: Rene Brain,1,1,1,1,She Walks in Beauty,Sons Of Art,Benedictus,1,1,1,1
5,Tenor/Bass,CCCNon-Varsity,Bowie Middle School Amarillo Chrissye Jenkins Acc: Libby Clifton,1,1,1,1,She Walks in Beauty,Songs of Art,Benedictus,1,1,1,1
6,Tenor/Bass,CCVarsity,Canyon Jr High Canyon Heather Farren / Jeremy Talley Acc: Kim Miller,1,1,1,1,Travel,Shoshone Love Song,Keep Your Lamps Trimmed and Burning,1,1,1,1
7,Tenor/Bass,CCNon-Varsity,Canyon Jr High Canyon Heather Farren Acc: Kim Miller,1,1,1,1,My Love Has Gone Away,Sons of Art,New River Train,1,1,1,1
8,Tenor/Bass,CCNon-Varsity,Crockett Middle School Amarillo Lauren Selman  Acc: Cristi Dollar,1,1,1,1,None of Us Cared for Kate,Boatmen Stomp,Wade in the Water,1,1,1,1
9,Tenor/Bass,CNon-Varsity,de Zavala Middle School Amarillo Bryan Hackett Acc: Cristi Dollar,1,1,1,1,Set Me As a Seal Upon Your Heart,Benedictus,Battle Above the Clouds,1,1,1,1
10,Tenor/Bass,CCNon-Varsity,Dumas Junior High Amarillo Kip White Acc: Eric Armer,2,2,2,2,As The Holly Groweth Green,This Train,The Gallant Knight,2,2,2,2
11,Tenor/Bass,CCNon-Varsity,Fannin Middle School Amarillo Makayla Smith Acc: Libby Clifton,1,1,1,1,Codfish Shanty,The Vagabond,Bella Ciao,2,2,2,2
12,Tenor/Bass,CCNon-Varsity,Pampa Junior High Pampa Stacy Pepper Acc: Tammy May,2,2,2,2,Sinner Man,I`m Bound Away,All the World was Made for Me,1,1,1,1
13,Tenor/Bass,CCNon-Varsity,Perryton Junior High Perryton Tayten Martin / Keith Harris Acc: Brenda Schnabel,1,1,1,1,Cantate Domino,Loch Lomond,Aura Lee,1,1,1,1
14,Tenor/Bass,CCCNon-Varsity,Westover Park JH Amarillo Mika Daniels / Shane Swenn Acc: Matthew Miller,1,2,2,2,Sinner Man,Rest Not,Can of Grog,1,1,1,1
15,Treble,CCVarsity,Austin Middle School Amarillo Morgan Farren Acc: Susan Burt,1,1,1,1,I Will Lift Up My Voice,Poor Wayfaring Stranger,Haida,1,1,1,1
16,Treble,CCNon-Varsity,Austin Middle School Amarillo Morgan Farren Acc: Susan Burt,1,1,1,1,I've Been in the Storm So Long,Dodi Li,"All Night, All Day",1,1,1,1
17,Treble,CCVarsity,"Bonham MS Amarillo Lizzi Manfredi / Brae Foust, Susan Hinrichs Acc: Susan Hinrichs",1,1,1,1,Lux Aeterna,Poor Wayfaring Stranger,The Storm Is Passing Over,1,1,1,1
